,ingredient,class,reason,int_label,prompt
0,"abietic acid, glyceryl ester",controversial,"There is limited research available on the specific health impact of abietic acid, glyceryl ester on humans. Some studies suggest potential health benefits, while others indicate possible harmful effects. Further research is needed for a conclusive classification.",0,"Ingredient: abietic acid, glyceryl ester
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
1,acacia gum,not harmful,"Acacia gum, also known as gum arabic, is a natural dietary fiber that is generally recognized as safe by the FDA. It is commonly used as a food additive and has no known negative impacts on human health when consumed in moderate amounts.",2,"Ingredient: acacia gum
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
2,acai berry extract,not harmful,"Acai berry extract is rich in antioxidants, fiber, and heart-healthy fats, which can have benefits for human health such as reducing inflammation and improving cholesterol levels. There is no evidence to suggest that acai berry extract is harmful when consumed in moderation.",2,"Ingredient: acai berry extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
3,acerola extract,not harmful,"Acerola extract is rich in vitamin C and other antioxidants, which can have health benefits such as boosting the immune system and supporting overall health. When consumed in moderation as part of a balanced diet, acerola extract is not considered harmful to human health.",2,"Ingredient: acerola extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
4,acesulfame potassium,controversial,"There are controversial studies about the long-term health effects of acesulfame potassium, with some suggesting it may have carcinogenic properties. However, regulatory agencies like the FDA and EFSA have deemed it safe for consumption within recommended limits.",0,"Ingredient: acesulfame potassium
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
5,acetic acid,not harmful,"Acetic acid, which is the main component of vinegar, is generally recognized as safe for consumption by regulatory bodies. It is commonly found in food products and has been used for centuries in cooking and food preservation.",2,"Ingredient: acetic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
6,adipic acid,controversial,"While adipic acid is generally recognized as safe by FDA for food use, some studies suggest potential harmful effects on human health due to its possible contribution to acid rain and groundwater pollution.",0,"Ingredient: adipic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
7,agar,not harmful,"Agar is a natural vegetarian gelatin substitute derived from seaweed. It is low in calories and rich in fiber, making it a healthy alternative to animal-based gelatin. It is widely considered safe for consumption and does not have any known harmful effects on human health.",2,"Ingredient: agar
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
8,"agar, dried",not harmful,"Agar, dried, is a natural vegetarian gelatin substitute made from seaweed. It is generally considered safe for consumption and is commonly used in food and cosmetics.",2,"Ingredient: agar, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
9,agave syrup,harmful,"Agave syrup is high in fructose, which can contribute to health issues such as obesity, insulin resistance, and fatty liver disease. It is also highly processed and often contains added sugars.",1,"Ingredient: agave syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
