Ingredient,Quantity
butter with salt,200
butter whipped w salt,200
butter oil anhydrous,200
cheese blue,200
cheese brick,200
cheese brie,200
cheese camembert,200
cheese caraway,200
cheese cheddar,200
cheese cheshire,200
cheese colby,200
cheese cottage crmd lrg or sml curd,200
cheese cottage crmd wfruit,200
cheese cottage nonfat uncrmd dry lrg or sml curd,200
cheese cottage lowfat 2 milkfat,200
cheese cottage lowfat 1 milkfat,200
cheese cream,200
cheese edam,200
cheese feta,200
cheese fontina,200
cheese gjetost,200
cheese gouda,200
cheese gruyere,200
cheese limburger,200
cheese monterey,200
cheese mozzarella whl milk,200
cheese mozzarella whl milk lo moist,200
cheese mozzarella part skim milk,200
cheese mozzarella lo moist part-skim,200
cheese muenster,200
cheese neufchatel,200
cheese parmesan grated,200
cheese parmesan hard,200
cheese port de salut,200
cheese provolone,200
cheese ricotta whole milk,200
cheese ricotta part skim milk,200
cheese romano,200
cheese roquefort,200
cheese swiss,200
cheese tilsit,200
cheese past process american fort w vitamin d,200
cheese past process pimento,200
cheese past process swiss,200
cheese fd cold pk american,200
cheese fd past process american vitamin d fort,200
cheese fd past process swiss,200
cheese sprd past process american,200
cream fluid half and half,200
cream fluid lt (coffee crm or table crm),200
cream fluid lt whipping,200
cream fluid hvy whipping,200
cream whipped crm topping pressurized,200
cream sour red fat cultured,200
cream sour cultured,200
eggnog,200
sour drsng non-butterfat cultured filled cream-type,200
milk filled fluid wblend of hydr veg oils,200
milk filled fluid wlauric acid oil,200
cheese american nonfat or fat free,200
cream sub liq whydr veg oilsoy prot,200
cream sub liq wlauric acid oilna caseinate,200
cream substitute powdered,200
dessert topping powdered,200
dessert topping pdr 15 oz prep w12 cup milk,200
dessert topping pressurized,200
dessert topping semi solid frz,200
sour crm imitn cultured,200
milk substitutes fluid wlauric acid oil,200
milk whl 325 milkfat w added vitamin d,200
milk producer fluid 37 milkfat,200
milk red fat fluid 2 milkfat w added vit a  vitamin d,200
milk red fat fluid 2 milkfat w added nfms  vit a  vit d,200
milk red fat fluid 2 milkfat prot fort w added vit a  d,200
milk lowfat fluid 1 milkfat w added vit a  vitamin d,200
milk lowfat fluid 1 milkfat w add nonfat milk sol vit a d,200
